Sex,Under 1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44
0,Males,82,305,199,197,322,537,910,1239,1610,2045
1,Females,73,249,171,183,297,554,1341,2219,3085,4457
2,Males,0,0,1,4,10,7,17,30,67,139
3,Females,0,1,0,5,8,8,12,29,53,81
4,Males,0,0,0,0,0,0,1,1,1,2
5,Females,0,0,0,0,0,0,0,0,0,4
6,Males,0,0,0,0,0,0,0,1,6,12
7,Females,0,0,0,0,0,0,1,1,6,7
8,Males,0,0,0,0,1,2,6,9,15,32
9,Females,0,0,0,0,0,2,4,5,19,19
10,Males,0,0,0,0,1,1,0,0,2,5
11,Females,0,0,0,0,0,0,0,1,0,3
12,Males,0,0,0,0,0,0,0,1,3,12
13,Females,0,0,0,0,0,0,0,0,0,1
14,Males,0,0,0,0,1,0,1,1,2,3
15,Females,0,0,0,1,3,1,0,3,1,5
16,Males,0,0,0,0,0,0,1,1,7,13
17,Females,0,0,0,0,0,0,3,3,4,6
18,Males,0,0,1,2,3,3,4,5,8,9
19,Females,0,0,0,3,4,3,2,11,9,5
20,Males,0,0,0,0,1,0,0,1,5,1
21,Females,0,0,0,1,1,2,1,0,1,2
22,Males,0,0,0,0,0,0,1,3,12,36
23,Females,0,0,0,0,0,0,0,1,5,22
24,Males,0,0,0,0,0,0,0,2,0,1
25,Females,0,0,0,0,0,0,1,0,0,0
26,Males,0,0,0,2,3,1,3,5,3,5
27,Females,0,1,0,0,0,0,0,2,8,5
28,Males,0,0,0,0,0,0,0,0,1,7
29,Females,0,0,0,0,0,0,0,0,0,0
30,Males,0,0,0,0,0,0,0,0,2,0
31,Females,0,0,0,0,0,0,0,2,0,2
32,Males,0,0,0,0,0,0,0,0,0,1
33,Females,0,0,0,0,0,0,0,0,0,0
34,Males,0,0,0,0,0,4,7,10,18,34
35,Females,0,0,0,0,0,1,1,1,7,9
36,Males,0,0,0,0,0,2,4,12,17,41
37,Females,0,0,0,0,1,4,6,15,28,24
38,Males,0,0,0,1,0,1,4,6,8,15
39,Females,0,0,0,0,0,3,1,5,8,15
40,Males,0,0,0,3,3,5,48,122,209,236
41,Females,0,0,1,4,1,13,51,119,202,238
42,Males,0,0,0,3,2,4,34,74,133,136
43,Females,0,0,1,4,0,11,34,85,132,132
44,Males,0,0,0,0,1,1,1,6,12,12
45,Females,0,0,0,0,1,0,3,3,16,21
46,Males,0,0,0,0,0,0,13,42,64,88
47,Females,0,0,0,0,0,2,14,31,54,85
48,Males,0,0,0,0,0,0,2,5,9,21
49,Females,0,0,0,0,0,0,2,7,18,25
50,Males,3,12,1,1,1,2,3,10,27,35
51,Females,4,7,1,0,0,4,4,6,9,17
52,Males,0,0,0,0,0,0,0,1,0,6
53,Females,0,0,0,0,0,0,0,1,2,7
54,Males,0,0,1,0,0,1,0,3,2,5
55,Females,0,0,0,0,0,1,1,2,3,2
56,Males,0,0,0,0,1,2,5,5,14,41
57,Females,0,0,1,0,3,1,7,8,13,33
58,Males,0,0,0,0,0,0,1,0,1,3
59,Females,0,0,0,0,0,1,2,0,2,1
60,Males,0,1,0,0,1,0,2,2,7,4
61,Females,0,1,2,0,0,0,2,2,0,12
62,Males,0,1,0,0,0,0,0,1,1,0
63,Females,0,0,0,0,1,0,1,0,0,3
